 0.10000000E-01 0.65334042E-03 0.65334042E-03 0.65334042E-03 0.65334042E-03
 0.12000000E-01 0.63820806E-03 0.63820806E-03 0.63820806E-03 0.63820806E-03
 0.14000000E-01 0.62049132E-03 0.62049132E-03 0.62049132E-03 0.62049132E-03
 0.16000000E-01 0.60820415E-03 0.60820415E-03 0.60820415E-03 0.60820415E-03
 0.18000000E-01 0.59802770E-03 0.59802770E-03 0.59802770E-03 0.59802770E-03
 0.20000000E-01 0.59944682E-03 0.59944682E-03 0.59944682E-03 0.59944682E-03
 0.22000000E-01 0.61634809E-03 0.61634809E-03 0.61634809E-03 0.61634809E-03
 0.24000000E-01 0.63031282E-03 0.63031282E-03 0.63031282E-03 0.63031282E-03
 0.26000000E-01 0.62878432E-03 0.62878432E-03 0.62878432E-03 0.62878432E-03
 0.28000000E-01 0.62077677E-03 0.62077677E-03 0.62077677E-03 0.62077677E-03
 0.30000000E-01 0.61423938E-03 0.61423938E-03 0.61423938E-03 0.61423938E-03
 0.32000000E-01 0.60800970E-03 0.60800970E-03 0.60800970E-03 0.60800970E-03
 0.34000000E-01 0.60544833E-03 0.60544833E-03 0.60544833E-03 0.60544833E-03
 0.36000000E-01 0.61266744E-03 0.61266744E-03 0.61266744E-03 0.61266744E-03
 0.38000000E-01 0.62329873E-03 0.62329873E-03 0.62329873E-03 0.62329873E-03
 0.40000000E-01 0.62566490E-03 0.62566490E-03 0.62566490E-03 0.62566490E-03
 0.42000000E-01 0.62119029E-03 0.62119029E-03 0.62119029E-03 0.62119029E-03
 0.44000000E-01 0.61656630E-03 0.61656630E-03 0.61656630E-03 0.61656630E-03
 0.46000000E-01 0.61233890E-03 0.61233890E-03 0.61233890E-03 0.61233890E-03
 0.48000000E-01 0.60904343E-03 0.60904343E-03 0.60904343E-03 0.60904343E-03
 0.50000000E-01 0.61166391E-03 0.61166391E-03 0.61166391E-03 0.61166391E-03
 0.52000000E-01 0.61954592E-03 0.61954592E-03 0.61954592E-03 0.61954592E-03
 0.54000000E-01 0.62377727E-03 0.62377727E-03 0.62377727E-03 0.62377727E-03
 0.56000000E-01 0.62163895E-03 0.62163895E-03 0.62163895E-03 0.62163895E-03
 0.58000000E-01 0.61800853E-03 0.61800853E-03 0.61800853E-03 0.61800853E-03
 0.60000000E-01 0.61488800E-03 0.61488800E-03 0.61488800E-03 0.61488800E-03
 0.62000000E-01 0.61178454E-03 0.61178454E-03 0.61178454E-03 0.61178454E-03
 0.64000000E-01 0.61188655E-03 0.61188655E-03 0.61188655E-03 0.61188655E-03
 0.66000000E-01 0.61726512E-03 0.61726512E-03 0.61726512E-03 0.61726512E-03
 0.68000000E-01 0.62229255E-03 0.62229255E-03 0.62229255E-03 0.62229255E-03
 0.70000000E-01 0.62205026E-03 0.62205026E-03 0.62205026E-03 0.62205026E-03
 0.72000000E-01 0.61919903E-03 0.61919903E-03 0.61919903E-03 0.61919903E-03
 0.74000000E-01 0.61667458E-03 0.61667458E-03 0.61667458E-03 0.61667458E-03
 0.76000000E-01 0.61407109E-03 0.61407109E-03 0.61407109E-03 0.61407109E-03
 0.78000000E-01 0.61286177E-03 0.61286177E-03 0.61286177E-03 0.61286177E-03
 0.80000000E-01 0.61600211E-03 0.61600211E-03 0.61600211E-03 0.61600211E-03
 0.82000000E-01 0.62098831E-03 0.62098831E-03 0.62098831E-03 0.62098831E-03
 0.84000000E-01 0.62232317E-03 0.62232317E-03 0.62232317E-03 0.62232317E-03
 0.86000000E-01 0.62032152E-03 0.62032152E-03 0.62032152E-03 0.62032152E-03
 0.88000000E-01 0.61811645E-03 0.61811645E-03 0.61811645E-03 0.61811645E-03
 0.90000000E-01 0.61601249E-03 0.61601249E-03 0.61601249E-03 0.61601249E-03
 0.92000000E-01 0.61426636E-03 0.61426636E-03 0.61426636E-03 0.61426636E-03
 0.94000000E-01 0.61558186E-03 0.61558186E-03 0.61558186E-03 0.61558186E-03
 0.96000000E-01 0.61989841E-03 0.61989841E-03 0.61989841E-03 0.61989841E-03
 0.98000000E-01 0.62243606E-03 0.62243606E-03 0.62243606E-03 0.62243606E-03
 0.10000000E+00 0.62141642E-03 0.62141642E-03 0.62141642E-03 0.62141642E-03
 0.11000000E+00 0.61911642E-03 0.61911642E-03 0.61911642E-03 0.61911642E-03
 0.12000000E+00 0.61765383E-03 0.61765383E-03 0.61765383E-03 0.61765383E-03
 0.13000000E+00 0.62213631E-03 0.62213631E-03 0.62213631E-03 0.62213631E-03
 0.14000000E+00 0.62196092E-03 0.62196092E-03 0.62196092E-03 0.62196092E-03
 0.15000000E+00 0.61983905E-03 0.61983905E-03 0.61983905E-03 0.61983905E-03
 0.16000000E+00 0.62378275E-03 0.62378275E-03 0.62378275E-03 0.62378275E-03
 0.17000000E+00 0.62486343E-03 0.62486343E-03 0.62486343E-03 0.62486343E-03
