 0.10000000E-01 0.12874277E-02 0.12736319E-02 0.12418887E-02 0.12193464E-02 0.12060050E-02 0.12018646E-02 0.12069251E-02 0.12211866E-02 0.12446490E-02 0.12773123E-02
 0.12000000E-01 0.12576638E-02 0.12441887E-02 0.12131788E-02 0.11911573E-02 0.11781241E-02 0.11740793E-02 0.11790230E-02 0.11929550E-02 0.12158753E-02 0.12477841E-02
 0.14000000E-01 0.12228212E-02 0.12097218E-02 0.11795704E-02 0.11581585E-02 0.11454861E-02 0.11415533E-02 0.11463601E-02 0.11599064E-02 0.11821923E-02 0.12132176E-02
 0.16000000E-01 0.11986892E-02 0.11858511E-02 0.11562941E-02 0.11353042E-02 0.11228816E-02 0.11190263E-02 0.11237383E-02 0.11370177E-02 0.11588642E-02 0.11892780E-02
 0.18000000E-01 0.11787293E-02 0.11661082E-02 0.11370425E-02 0.11164017E-02 0.11041856E-02 0.11003944E-02 0.11050281E-02 0.11180866E-02 0.11395700E-02 0.11694781E-02
 0.20000000E-01 0.11816494E-02 0.11690010E-02 0.11398626E-02 0.11191700E-02 0.11069233E-02 0.11031226E-02 0.11077679E-02 0.11208592E-02 0.11423964E-02 0.11723794E-02
 0.22000000E-01 0.12151135E-02 0.12021118E-02 0.11721473E-02 0.11508680E-02 0.11382741E-02 0.11343656E-02 0.11391427E-02 0.11526051E-02 0.11747529E-02 0.12055859E-02
 0.24000000E-01 0.12427906E-02 0.12294975E-02 0.11988495E-02 0.11770848E-02 0.11642035E-02 0.11602059E-02 0.11650919E-02 0.11788615E-02 0.12015146E-02 0.12330509E-02
 0.26000000E-01 0.12399123E-02 0.12266545E-02 0.11960763E-02 0.11743611E-02 0.11615091E-02 0.11575206E-02 0.11623955E-02 0.11761338E-02 0.11987353E-02 0.12301998E-02
 0.28000000E-01 0.12242646E-02 0.12111787E-02 0.11809852E-02 0.11595431E-02 0.11468527E-02 0.11429143E-02 0.11477279E-02 0.11612935E-02 0.11836108E-02 0.12146794E-02
