 0.10000000E-01 0.11513429E-05 0.14263681E+00
 0.12000000E-01 0.11246685E-05 0.14263660E+00
 0.14000000E-01 0.10934385E-05 0.14263634E+00
 0.16000000E-01 0.10717755E-05 0.14263602E+00
 0.18000000E-01 0.10538307E-05 0.14263462E+00
 0.20000000E-01 0.10563174E-05 0.14263534E+00
 0.22000000E-01 0.10860835E-05 0.14263490E+00
 0.24000000E-01 0.11106738E-05 0.14263433E+00
 0.26000000E-01 0.11079628E-05 0.14263380E+00
 0.28000000E-01 0.10938344E-05 0.14263325E+00
 0.30000000E-01 0.10822952E-05 0.14263274E+00
 0.32000000E-01 0.10712970E-05 0.14263221E+00
 0.34000000E-01 0.10667603E-05 0.14263175E+00
 0.36000000E-01 0.10794529E-05 0.14263060E+00
 0.38000000E-01 0.10981553E-05 0.14262980E+00
 0.40000000E-01 0.11022959E-05 0.14263006E+00
 0.42000000E-01 0.10943842E-05 0.14262815E+00
 0.44000000E-01 0.10862081E-05 0.14262727E+00
 0.46000000E-01 0.10787295E-05 0.14262634E+00
 0.48000000E-01 0.10728911E-05 0.14262537E+00
 0.50000000E-01 0.10774706E-05 0.14262438E+00
 0.52000000E-01 0.10913151E-05 0.14262322E+00
 0.54000000E-01 0.10987288E-05 0.14262213E+00
 0.56000000E-01 0.10949238E-05 0.14262106E+00
 0.58000000E-01 0.10884900E-05 0.14261993E+00
 0.60000000E-01 0.10829529E-05 0.14261873E+00
 0.62000000E-01 0.10774447E-05 0.14261750E+00
 0.64000000E-01 0.10775784E-05 0.14261624E+00
 0.66000000E-01 0.10869998E-05 0.14261488E+00
 0.68000000E-01 0.10958015E-05 0.14261339E+00
 0.70000000E-01 0.10953255E-05 0.14261201E+00
 0.72000000E-01 0.10902558E-05 0.14261053E+00
 0.74000000E-01 0.10857601E-05 0.14260907E+00
 0.76000000E-01 0.10811242E-05 0.14260747E+00
 0.78000000E-01 0.10789403E-05 0.14260592E+00
 0.80000000E-01 0.10844083E-05 0.14260431E+00
 0.82000000E-01 0.10931225E-05 0.14260262E+00
 0.84000000E-01 0.10954111E-05 0.14260086E+00
 0.86000000E-01 0.10918286E-05 0.14259912E+00
 0.88000000E-01 0.10878869E-05 0.14259736E+00
 0.90000000E-01 0.10841221E-05 0.14259556E+00
 0.92000000E-01 0.10809852E-05 0.14259379E+00
 0.94000000E-01 0.10832307E-05 0.14259213E+00
 0.96000000E-01 0.10907515E-05 0.14258976E+00
 0.98000000E-01 0.10951431E-05 0.14258428E+00
 0.10000000E+00 0.10932791E-05 0.14258568E+00
 0.11000000E+00 0.10888529E-05 0.14257495E+00
 0.12000000E+00 0.10858689E-05 0.14256291E+00
 0.13000000E+00 0.10932826E-05 0.14254999E+00
 0.14000000E+00 0.10924793E-05 0.14253580E+00
 0.15000000E+00 0.10882323E-05 0.14252119E+00
 0.16000000E+00 0.10945738E-05 0.14250502E+00
 0.17000000E+00 0.10958563E-05 0.14248779E+00
